"|","|__name","|__fullname","|__alias","|__conference","|__lat","|__lon","|__metroTotal","|__otherTotal"
"uSouthAlabama","South Alabama","University of South Alabama","USA","","30.695941","-88.184236","33.89","66.11"
"uUpstate","South Carolina-Upstate","University of South Carolina-Upstate","USCU","","34.999247","-81.971272","57.64","42.36"
"uSouthDakota","South Dakota","University of South Dakota","USD","","42.788302","-96.925338","57.54","42.46"
"uSouthernMiss","Southern Mississippi","University of Southern Mississippi","USM","","31.330012","-89.334042","45.5","54.5"
"uTChattanooga","Tennessee-Chattanooga","University of Tennessee-Chattanooga","","","35.046407","-85.29447","36.82","63.18"
"uTMartin","Tennessee-Martin","University of Tennessee-Martin","","","36.341936","-88.864404","52.83","47.17"
"uTEP","UTEP","University of Texas at El Paso","","","31.770854","-106.504622","39.23","60.77"
"uTSA","Texas at San Antonio","University of Texas at San Antonio","UTSA","","29.583045","-98.619656","90.09","9.91"
"uRioGrandeValley","Texas Rio Grande Valley","University of Texas Rio Grande Valley","","","26.304653","-98.174275","34.37","65.63"
"uIncarnateWord","Incarnate Word","University of the Incarnate Word","","","29.467594","-98.467622","88.04","11.96"
"uPacific","Pacific","University of the Pacific","","","37.980815","-121.312023","72.06","27.94"
"uToledo","Toledo","University of Toledo","","","41.658031","-83.61407","45.08","54.92"
"uTulsa","Tulsa","University of Tulsa","","","36.151988","-95.946","85.06","14.94"
"uVermont","Vermont","University of Vermont","","","44.477853","-73.196464","77.93","22.07"
"uGreen Bay","Wisconsin-Green Bay","University of Wisconsin-Green Bay","","","44.532073","-87.921714","25.24","74.76"
"uWyoming","Wyoming","University of Wyoming","","","41.314875","-105.566574","53.31","46.69"
"uUtahState","Utah State","Utah State University","USU","","41.745161","-111.809742","55.92","44.08"
"uUtahValley","Utah Valley","Utah Valley University","UVU","","40.278831","-111.715197","38.26","61.74"
"uValparaiso","Valparaiso","Valparaiso University","Valpo","","41.463939","-87.043889","76.93","23.07"
"uWagner","Wagner","Wagner College","","","40.61498","-74.094405","88.27","11.73"
"uWeber State","Weber State","Weber State University","","","41.192077","-111.944139","54.09","45.91"
"uWesternCarolina","Western Carolina","Western Carolina University","WCU","","35.308922","-83.184378","40.47","59.53"
"uWesternIllinois","Western Illinois","Western Illinois University","WIU","","40.472665","-90.685397","63.38","36.62"
"uWesternKentucky","Western Kentucky","Western Kentucky University","WKU","","36.985354","-86.456138","53.51","46.49"
"uWesternMichigan","Western Michigan","Western Michigan University","WMU","","42.283734","-85.610251","58.42","41.58"
"uWichitaState","Wichita State","Wichita State University","WSU","","37.719393","-97.292869","85.5","14.5"
"uWinthrop","Winthrop","Winthrop University","","","34.939514","-81.03162","69.92","30.08"
"uWrightState","Wright State","Wright State University","WSU","","39.784532","-84.059772","42.17","57.83"
"uYoungstownState","Youngstown State","Youngstown State University","YSU","","41.10626","-80.6477","40.49","59.51"
"uAugustanaSD","Augustana U. (S.D)","Augustana University Sioux Falls SD","","","43.5226","-96.7397","62.86","37.14"
"uMiddlebury","Middlebury","Middlebury College","","","44.0083","-73.1773","77.45","22.55"
