school,name,fullname,lat,lon,metroTotal,otherTotal,miami
uSaintJosephs,Saint Joseph's,Saint Joseph's University,39.994683,-75.241641,88.6,11.4,0.839
uSaint Louis,Saint Louis,Saint Louis University,38.63546,-90.233823,84.31,15.69,0.87
uSaintPeters,Saint Peter's,Saint Peter's University,40.727223,-74.071503,87.86,12.14,2.793
uSamHouston,Sam Houston State,Sam Houston State University,30.714662,-95.550244,79.61,20.39,0.273
uSamford ,Samford ,Samford University,33.464749,-86.793631,72.3,27.7,1.131
uSDSU,San Diego State,San Diego State University,32.775722,-117.071889,89.5,10.5,0.475
uSJSU,San Jose State,San Jose State University,37.335187,-121.881072,88.47,11.53,0.352
uSantaClara,Santa Clara,Santa Clara University,37.349642,-121.938987,90.34,9.66,0.812
uSavannah,Savannah State,Savannah State University,32.024521,-81.062637,58.82,41.18,1.691
uSouthCarolinaState,South Carolina State,South Carolina State University,33.498344,-80.850149,45.56,54.44,1.028
uSouthDakotaState,South Dakota State,South Dakota State University,44.318946,-96.783968,51.36,48.64,0.246
uSoutheastMissouri,Southeast Missouri,Southeast Missouri State University,37.314878,-89.528044,65.89,34.11,0.371
uSoutheasternLouisiana,Southeastern Louisiana,Southeastern Louisiana University,30.517316,-90.468857,46.86,53.14,0.385
uSouthernIllinois,Southern Illinois,Southern Illinois University-Carbondale,37.713637,-89.217963,69.19,30.81,0.76
uSIUEdwardsville,Southern Illinois-Edwardsville,Southern Illinois University-Edwardsville,38.793098,-89.997945,83.85,16.15,0.444
uSMU,Southern Methodist,Southern Methodist University,32.841218,-96.784517,89.75,10.25,0.84
uSouthern,Southern,Southern University and A&M College,30.526765,-91.193577,52.91,47.09,1.63
uSouthernUtah,Southern Utah,Southern Utah University,37.676444,-113.071332,47.59,52.41,0.148
uStBonaventure,St. Bonaventure,St Bonaventure University,42.078411,-78.482882,71.91,28.09,1.245
uStFrancis,St. Francis,St Francis College,40.69323,-73.992165,84.56,15.44,2.001
uSFA,Stephen F Austin,Stephen F Austin State University,31.621924,-94.646258,72.27,27.73,0.226
uStetson,Stetson,Stetson University,29.035664,-81.301505,68.85,31.15,7.524
uBinghamton,Binghamton,SUNY at Binghamton,42.089355,-75.969705,73.08,26.92,1.262
