id,long,lat,status,name,category,category2,essential_flag,chain_flag,corridor,sidewalk_width,histogram_column,image
23,-73.88413105,40.74814441,Occupied,Galleria Home Decor,Home & Hobby,Home,Non-essential,TRUE,Jackson,12,#N/A,
24,-73.88411663,40.7480741,Occupied,Fabco Shoes,Fashion,Fashion,Non-essential,FALSE,Jackson,12,#N/A,
25,-73.88364184,40.74777874,Occupied,Mi Gente ,Misc,Misc,Non-essential,TRUE,Jackson,14,#N/A,
26,-73.88761799,40.74713013,Unoccupied,Vacant,,#N/A,Non-essential,TRUE,Jackson,14,#N/A,
27,-73.89170905,40.74692168,Occupied,Gulshan Ave LLC,Markets/Pharmacies,Essentials,Essential,TRUE,Jackson,12,#N/A,
28,-73.88640707,40.7475139,Occupied,M. Badani & Associates,Services,Services,Essential,TRUE,Jackson,13,#N/A,
29,-73.89005463,40.74947193,Occupied,Juju’s Bagels Café,Food,Food,Non-essential,TRUE,Jackson,8,1,
30,-73.89004692,40.7494351,Occupied,EJ’s Barber Shop,Body,Body,Non-essential,TRUE,Jackson,8,#N/A,
31,-73.89085094,40.74787467,Occupied,Raza Associates Inc.,Misc,Misc,Non-essential,TRUE,Jackson,8,#N/A,
32,-73.89038387,40.74746218,Occupied,Bombay Bridal Boutique Inc.,Fashion,Fashion,Non-essential,TRUE,Jackson,5,#N/A,
33,-73.89090192,40.74806833,Occupied,Lawyer Office,Misc,Misc,Non-essential,TRUE,Jackson,8,#N/A,
34,-73.89086053,40.74793635,Unoccupied,Vacant,,#N/A,Non-essential,TRUE,Jackson,8,#N/A,
35,-73.89102055,40.74859669,Occupied,Bhima Astrologer,Home & Hobby,Home,Non-essential,TRUE,Jackson,8,#N/A,
36,-73.89087409,40.74815981,Occupied,Emiliano Perez ,Misc,Misc,Non-essential,TRUE,Jackson,8,#N/A,
37,-73.88902648,40.74816939,Occupied,AAA Accounting & Income Tax,Services,Services,Essential,TRUE,Jackson,5,#N/A,
39,-73.88505255,40.74730596,Occupied,Classes OSHA,Groups,Groups,Non-essential,TRUE,Jackson,9,#N/A,
40,-73.88874279,40.74816729,Occupied,Law Office Of Jose A. Polanco ,Misc,Misc,Non-essential,TRUE,Jackson,8,#N/A,
41,-73.88439974,40.74958907,Unoccupied,Vacant,,#N/A,Non-essential,TRUE,Jackson,10,#N/A,
42,-73.88401416,40.74735216,Occupied,Madelin Salon,Body,Body,Non-essential,TRUE,Jackson,7,#N/A,
43,-73.89162164,40.74854797,Occupied,JMD Wireless & Appliance,Home & Hobby,Home,Non-essential,TRUE,Jackson,12,#N/A,
44,-73.88385228,40.74813715,Occupied,Vami Express Courier/ Courier MG Agulia Express,Services,Services,Essential,TRUE,Jackson,10,#N/A,
45,-73.89182364,40.74829437,Occupied,Marks Home Care,Misc,Misc,Non-essential,TRUE,Jackson,11,#N/A,
46,-73.89188356,40.74839336,Occupied,Everest Driving School,Groups,Groups,Non-essential,TRUE,Jackson,11,#N/A,
47,-73.89148401,40.74732602,Occupied,Newsstand,Markets/Pharmacies,Essentials,Essential,TRUE,Jackson,12,#N/A,
48,-73.89143079,40.74752797,Occupied,Rahim Gift Shop,Home & Hobby,Home,Non-essential,TRUE,Jackson,12,#N/A,
49,-73.8917511,40.74728131,Occupied,K2 Delights,Food,Food,Non-essential,TRUE,Jackson,9,1,
50,-73.89163913,40.74664319,Occupied,Rainbow Bakery,Food,Food,Non-essential,TRUE,Jackson,9,2,
51,-73.88564042,40.74758944,Occupied,Star’s Club,Groups,Groups,Non-essential,TRUE,Jackson,12,#N/A,
52,-73.89160154,40.74707365,Occupied,Prabhu Multiservices,Services,Services,Essential,TRUE,Jackson,9,#N/A,
53,-73.89117771,40.74697402,Occupied,Eyebrows Salon,Body,Body,Non-essential,TRUE,Jackson,12,#N/A,
54,-73.88563555,40.74756935,Occupied,Seven Fitness Studio - Zumba Fitness,Fitness,Fitness,Non-essential,TRUE,Jackson,12,#N/A,
55,-73.88420923,40.74987406,Occupied,Rite Aid,Markets/Pharmacies,Essentials,Essential,FALSE,Jackson,14,#N/A,
56,-73.89141172,40.74733938,Occupied,Mollika Electronics,Home & Hobby,Home,Non-essential,TRUE,Jackson,6,#N/A,
57,-73.88302929,40.74729932,Occupied,Juquila Restaurant,Food,Food,Non-essential,TRUE,Jackson,7,1,
58,-73.88302398,40.74726928,Occupied,Oxigeno Salon Laser Spa,Body,Body,Non-essential,TRUE,Jackson,7,#N/A,
59,-73.88303716,40.74733821,Occupied,T-Work Staffing Solution ,Misc,Misc,Non-essential,TRUE,Jackson,7,#N/A,
60,-73.8830694,40.74733476,Occupied,AC Cury & Associates LLC,Misc,Misc,Essential,TRUE,Jackson,7,#N/A,
61,-73.88304717,40.74741595,Occupied,7 Graphic Design,Services,Services,Essential,TRUE,Jackson,7,#N/A,
62,-73.88304333,40.74736961,Occupied,El Zócado,Drinks,Drinks,Non-essential,TRUE,Jackson,7,2,
